Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,Train,0.993421052631579,0.9375,1.0,0.967741935483871,0.9994593133279265
Random Forest,Test,0.8922155688622755,0.88,0.5945945945945946,0.7096774193548387,0.9162162162162163
XGBoost,Train,1.0,1.0,1.0,1.0,1.0
XGBoost,Test,0.9341317365269461,0.90625,0.7837837837837838,0.8405797101449275,0.9343035343035343
Logistic Regression,Train,0.9013157894736842,0.5,1.0,0.6666666666666666,0.9606920789402541
Logistic Regression,Test,0.8263473053892215,0.7,0.3783783783783784,0.49122807017543857,0.823076923076923
